Review,Palabras
"La primera noche nos encontramos en la habitación con un nido (5) de cucarachas muertas y la alfombra muy sucia...que por cierto nunca limpiaron hasta que reclamamos.  La cena de fin de año fue un bufete que acabó en un tremendo desorden por el excesivo número de mesas vendidas, no se podía caminar para ir a servirte la comida, para luego encontrarte con bandejas vacías,  mi esposa y yo y otra pareja ""NO CENAMOS"" porque nos encontramos con puras bandejas vacías!!...pagamos $2800 pesos por por pareja por nada!!!  El servicio del restaurante pesimo, pesimo,pesimo....se tardaron muchísimo tiempo en atendernos, nos trajeron el desayuno en partes, nunca nos dieron el café que pedimos desde que llegamos....un pésimo servicio  El frigobar vacío y después de reclamar lo surtieron pero_x0085_","['primero', 'noche', 'encontrar', 'habitacion', 'nido', 'five', 'cucaracha', 'muerto', 'alfombrar', 'sucio', 'cierto', 'nunca', 'limpiar', 'reclamar', 'cena', 'fin', 'ano', 'bufetir', 'acabo', 'tremendo', 'desorden', 'excesivo', 'numero', 'mesa', 'vendido', 'podiar', 'caminar', 'ir', 'servirtir', 'comida', 'luego', 'encontrarte', 'bandeja', 'vacia', 'espós', 'parejo', 'cenamos', 'encontrar', 'pura', 'bandeja', 'vacia', 'pagar', 'two', 'thousand', 'eight', 'hundred', 'pesos', 'parejo', 'servicio', 'restaurante', 'pesimo', 'pesimo', 'pesimo', 'tardar', 'muchisimo', 'tiempo', 'atenderno', 'traer', 'desayuno', 'parte', 'nunca', 'dar', 'cafe', 'pedimo', 'llegar', 'pesimo', 'servicio', 'frigobar', 'vacio', 'despues', 'reclamar', 'surtir', 'pero_x0085', '_']"
"A una calle de catedral con platillos tradicionales, tipo Gourmet, de buen sabor y calidad.
Si bien ofrecen una carta con los platillos más representativos de cada temporada como mole de caderas, poblano, chinicuiles, chiles en nogada, escamoles y cemitas; son principalmente para degustación, no...Más","['calle', 'catedral', 'platillo', 'tradicional', 'tipo', 'gourmet', 'buen', 'sabor', 'calidad', 'si', 'bien', 'ofrecer', 'carta', 'platillo', 'mas', 'representativo', 'cada', 'temporada', 'mo él', 'cadera', 'poblano', 'chinicuil', 'chil', 'nogado', 'escamol', 'cemita', 'principalmente', 'degustacion', 'ma']"
"Porciones muy miserables
Agua con sabor a cloro 
Muy distraídos los meseros 
No llena las expectativas
Hay mejores opciones","['porción', 'miserable', 'agua', 'sabor', 'cloro', 'distraido', 'mesero', 'lleno', 'expectativa', 'mejor', 'opción']"
"Cartagena encanta. De todas las ciudades coloniales que hemos visitado es la más linda y mejor conservada. Recomiendo recorrerla tanto de día como de noche ya que son visiones distintas que vale la pena vivir. Llena de vida, tiendas, restaurantes, colorida, vibrante, calles y rincones que en cada momento guardan una sorpresa. Mi calificación habría sido excelente sino fuera por algunos detalles que deberían mejorar. Lamentablemente falta preocupación por la limpieza de las calles (problema que se repite en el resto de la ciudad) y un mejoramiento en los alcantarillados de las aguas servidas. Además por la estrechez de las calles deberían habilitar vías exclusivas para peatones.","['cartagena', 'encanta', 'todo', 'ciudad', 'colonial', 'visitado', 'mas', 'linda', 'mejor', 'conservado', 'recomeir', 'recorrer él', 'dia', 'noche', 'visión', 'distinto', 'valer', 'pena', 'vivir', 'lleno', 'vida', 'tienda', 'restaurante', 'colorida', 'vibrante', 'calle', 'rincón', 'cada', 'momento', 'guardar', 'sorpresa', 'calificacion', 'habrio', 'ser', 'excelente', 'sino', 'detalle', 'deberiar', 'mejorar', 'lamentablemente', 'falta', 'preocupacion', 'limpieza', 'call', 'problema', 'repetir', 'resto', 'ciudad', 'mejoramiento', 'alcantarillado', 'agua', 'servida', 'adema', 'estrechez', 'call', 'deberiar', 'habilitar', 'via', 'exclusivo', 'peatón']"
"Ibamos con mucha ilusion de disfrutar el espectaculo de luz y sonido pero la verdad nos decepcionó,te ubican en una esquina a la entrada de las ruinas,y no al centro por lo que no puedes apreciar casi nada,las personas se paran a tomar fotografias debido a que no se alcanza a ver nada si estas sentado,al inicio y al final del espectaculo no dejan prendidas las luces para que puedas tomar fotografias, al contrario queda todo en obscuridad y las personas de la tercera edad tiene problemas para salir pues no iluminan ni el camino para salida, deberian poner aunque sea unas antorchas para iluminar,la verdad no lo recomiendo es una pena que una maravilla como lo es chichen itza tenga un espectaculo tan carente .","['ibar', 'mucho', 'ilusion', 'disfrutar', 'espectaculo', 'luz', 'sonido', 'verdad', 'decepciono', 'ubicar', 'esquina', 'entrado', 'ruina', 'centro', 'poder', 'apreciar', 'casi', 'persona', 'parar', 'tomar', 'fotografia', 'debido', 'alcanzar', 'ver', 'si', 'sentado', 'inicio', 'final', 'espectaculo', 'dejar', 'prendida', 'luz', 'pueda', 'tomar', 'fotografia', 'contrario', 'quedar', 'obscuridad', 'persona', 'tercero', 'edad', 'problema', 'salir', 'pues', 'iluminar', 'camino', 'salida', 'deberiar', 'poner', 'aunque', 'uno', 'antorcha', 'iluminar', 'verdad', 'recomeir', 'pena', 'maravilla', 'chichar', 'itza', 'espectaculo', 'tanto', 'carente']"
"el sábado 12 de 11 del 2016.
desde que llegas el personal tiene el peor trato, no saben ingles. y al parecer tampoco españold, 5 veces me preguntaron si mi reservacion era alli, como si despues de la 3 o 4 vez que me preguntaron mi respuesta seria diferente. por mas que les comprobe con boucher, intinerario y pago, no sabian en donde estaba mi reservacion, y decian que era hasta dentro de un mes, obvio fue error de ellos, pero nunca lo admitieron. Llegue a las 12 pm y no me encontraron habitacion hasta la 1pm, prometieron tenerla antes y no fue hasta despues de las 3 pm debido a la ocupacion que tenian, el hotel y los precios son de lujo pero el trato es de lo peor. tuve que hablar con 3 recepcionistas y nadie podia hacer nada. el gerente nunca llego, el supervisor nunca aparecio. y simplemente volteaban para otro lado cada ves que les poreguntaba por mi habitacion. practicamente 4 horas perdidas de mi dia, que no se pudo recuperar. en los restaurantes los meseros, sobretodo la mañana volteaban para otro lado al momento de pedir servcio, por mas desocupado que estaba el lugar no ofrecian ni una mesa, pero si ven a un estado unidense pasar hasta alfombra roja le tendian, no entiendo por que en este pasi en esta zona en especial hay tan mal trato a sus propios paisanos.
totalmente desagradable mi experiencia en este hotel. nada recomendable si eres de mexico.
Y NO HAY PLAYA COMO LO DICE EN INTERNET. TE TIENEN QUE TRASLADAR A EL OTRO HOTEL PARA ESO.....","['sabado', 'twelvir', 'elevir', '2016', 'llega', 'personal', 'peor', 'trato', 'saber', 'ingl', 'parecer', 'tampoco', 'espanold', 'five', 'vez', 'preguntar', 'si', 'reservacion', 'alli', 'si', 'despues', 'threir', 'four', 'vez', 'preguntar', 'respuesta', 'serio', 'diferente', 'mas', 'comprobe', 'boucher', 'intinerario', 'pago', 'sabiar', 'reservacion', 'deciar', 'dentro', 'mes', 'obvio', 'error', 'nunca', 'admitir', 'llegar', 'twelve', 'pm', 'encontrar', 'habitacion', '1', 'pm', 'prometer', 'tener él', 'despu', 'threir', 'pm', 'debido', 'ocupacion', 'teniar', 'hotel', 'precios', 'lujo', 'trato', 'peor', 'hablar', 'three', 'recepcionista', 'nadie', 'podiar', 'hacer', 'gerente', 'nunca', 'llego', 'supervisor', 'nunca', 'aparecio', 'simplemente', 'voltear', 'lado', 'cada', 'ves', 'poreguntar', 'habitacion', 'practicamente', 'four', 'hora', 'perdido', 'dio', 'poder', 'recuperar', 'restaurante', 'mesero', 'sobretodo', 'manán', 'voltear', 'lado', 'momento', 'pedir', 'servcio', 'mas', 'desocupado', 'lugar', 'ofreciar', 'mesa', 'si', 'ver', 'unidense', 'pasar', 'alfombra', 'rojo', 'tendiar', 'entender', 'pasi', 'zona', 'especial', 'tanto', 'mal', 'trato', 'propio', 'paisano', 'totalmente', 'desagradable', 'experiencia', 'hotel', 'recomendable', 'si', 'mexico', 'playa', 'decir', 'internet', 'trasladar', 'hotel']"
"Excelente hotel, Muchas atracciones a su alrededor, habitaciones muy comodas y limpias, En el lobby del hotel siempre hay Cafe o algun tipo de jugo para los huespedes, el personal es de lo mejor, todos muy amables, cuando regrese a merida siempre sera mi casa. todo el personal, desde la chica que limpia hasta el manager del hotel siempre estan dispuestos a ayudar a los huespedes. Mil gracias por todas las atenciones. Siempre recomendare este hotel  John Velez","['excelente', 'hotel', 'mucho', 'atracción', 'alrededor', 'habitación', 'comoda', 'limpio', 'lobby', 'hotel', 'siempre', 'cafe', 'algun', 'tipo', 'jugo', 'huespedes', 'personal', 'mejor', 'amable', 'regrese', 'merido', 'siempre', 'sero', 'casa', 'personal', 'chico', 'limpio', 'manager', 'hotel', 'siempre', 'estar', 'dispuesto', 'ayudar', 'huesped', 'mil', 'gracias', 'todo', 'atención', 'siempre', 'recomendare', 'hotel', 'john', 'velez']"
"Ayer fui con unas amigas a cenar, vivimos aquí en Vallarta, como no somos turistas nos trataron muy mal (aunque vestíamos mejor que ellos), desde la chica que recibe en la entrada nos trató fatal, aunque la comida estaba bien, no nos hicieron el show de flambeado en las fajitas en nuestra presencia como se lo hicieron a todos los turistas que estaban a nuestro alrededor, además al preguntarle al mesero nos dicen que si se hizo, nos vieron cara de tontas y nos dicen mentira, pues ninguna de nosotras lo vió hacer, es más el plato no estaba tan caliente como debía estarlo si se hubiese hecho en el momento, la verdad no provocaba dejar propina, sin embargo lo hicimos, mi pregunta es, será que piensan que no podemos pagar? , lo que yo si se, es que no vuelvo, quería ir con mi esposo pero ya se me quitaron las ganas.","['ayer', 'uno', 'amiga', 'cenar', 'vivir', 'aqui', 'vallarto', 'turista', 'tratar', 'mal', 'aunque', 'vestiamos', 'mejor', 'chica', 'recibir', 'entrada', 'trato', 'fatal', 'aunque', 'comida', 'bien', 'hacer', 'show', 'flambeado', 'fajitas', 'presencia', 'hacer', 'turista', 'alrededor', 'adema', 'preguntar él', 'mesero', 'decir', 'si', 'hacer', 'ver', 'cara', 'tonto', 'decir', 'mentira', 'pues', 'ninguno', 'ver', 'hacer', 'mos', 'plato', 'tanto', 'caliente', 'debia', 'estar él', 'si', 'hecho', 'momento', 'verdad', 'provocar', 'dejar', 'propina', 'embargo', 'hicimo', 'preguntar', 'sero', 'pensar', 'poder', 'pagar', 'si', 'volver', 'querio', 'ir', 'esposo', 'quitar', 'gana']"
"El personal de recepción es grosero y desinteresado. Pero las camareras, camareros y todo el personal era fabuloso. El hotel es precioso, pero las instalaciones y accesorios se caen a pedazos como es la Habana. Necesidades de un millón de dólares para poner justo. Mi limpieza Carlos era genial y me dejaron toallas modelos cada día. me hubiera gustado ver fotos de. Los coches clásicos, ver en fotos son un mito. Son realmente cubos de óxido. Cuba es el lugar más caro que he visitado. Ten cuidado. Todo cuesta!!!.  Incluso lindas fotos si trad vestidas con gente en la calle a tomar fotos.estoy casi 60 y nunca volver de nuevo en mi vida porque le llevará 10 años y miles de millones de dólares para restaurar esta ciudad beautifil","['personal', 'recepcion', 'grosero', 'desinteresado', 'camarera', 'camarero', 'personal', 'fabuloso', 'hotel', 'precioso', 'instalación', 'accesorio', 'caer', 'pedazos', 'habán', 'necesidad', 'millon', 'dolar', 'poner', 'justo', 'limpieza', 'carlos', 'genial', 'dejar', 'toalla', 'modelo', 'cada', 'dia', 'gustado', 'ver', 'foto', 'coche', 'clasico', 'ver', 'foto', 'mito', 'realmente', 'cubo', 'oxido', 'cuba', 'lugar', 'mas', 'caro', 'visitado', 'tar', 'cuidado', 'costar', 'incluso', 'lindo', 'foto', 'si', 'trad', 'vestido', 'gente', 'calle', 'tomar', 'fotosestoy', 'casi', 'sixty', 'nunca', 'volver', 'nuevo', 'vida', 'llevar', 'tar', 'ano', 'mil', 'millón', 'dolar', 'restaurar', 'ciudad', 'beautifil']"
"bueno, barato, no es de lujo, perfecta ubicación para la vieja Habana y vistas increíbles. No esperes lujo, pero es un buen lugar para dormir, un buen desayuno y una impresionante vista del Malecón. estarás bien en un lugar que es como la Habana: no es nuevo, no son perfectas pero agradable. Me alojaría aquí de nuevo.","['bueno', 'barato', 'lujo', 'perfecto', 'ubicacion', 'viejo', 'habán', 'visto', 'increibl', 'esper', 'lujo', 'buen', 'lugar', 'dormir', 'buen', 'desayuno', 'impresionante', 'visto', 'malecon', 'estara', 'bien', 'lugar', 'habán', 'nuevo', 'perfecta', 'agradable', 'alojaria', 'aqui', 'nuevo']"
